,book,juan,juansuffix,paraIdx,text,comments
49830,New_Book_of_Tang,216,下,16,十二年，寇慶州及華池，殺略吏人。是歲，尚結贊死。明年，贊普死，其子足之煎立。邢君牙築永信城於隴州以備虜，虜使者農桑昔來請脩好，朝廷以其無信，不受。韋臯取新城，虜治劍山、馬嶺，進寇臺登，巂州刺史曹高仕擊卻之，禽籠官，斬級三百，獲馬、糧、械數千。,
183032,New_Book_of_Tang,78,,34,弟孝斌為原州都督府長史。生子思訓，為江都令。武後多殺宗室，思訓棄官去。中宗復位，以耆舊擢宗正卿，封隴西郡公，歷益州都督府長史。開元初，進彭國公，加戶滿四百，進右武衛大將軍。卒，贈秦州都督，陪葬橋陵。思訓善畫，世所謂「李將軍山水」者。弟思誨，為揚州參軍事。子林甫，自有傳。,
41367,New_Book_of_Tang,80,,1,太宗十四子：文德皇后生承乾，又生第四子泰、高宗皇帝，後宮生寬，楊妃生恪，又生第六子愔，陰妃生祐，王氏生惲，燕妃生貞，又生第十一子囂，韋妃生慎，後宮生簡，楊妃生福，楊氏生明。,
113274,New_Book_of_Tang,61,,20,十一月辛卯，矩罷判黃門侍郎。,
27542,New_Book_of_Tang,47,,79,令二人，從五品下；丞二人，從七品下。掌東宮閤內及宮人糧稟。坊事五人，從八品下。初，內坊隸東宮。開元二十七年，隸內侍省，為局，改典內曰令，置丞。坊事及導客舍人六人，掌序導賓客；閤帥六人，掌帥閽人、內給使以供其事；內閽人八人，掌承諸門出入管鑰，內繖扇、燈燭；內廄尉二人，掌車乘。有錄事一人，令史三人，書令史五人，典事二人，駕士三十人，亭長、掌固各一人。,
8751,New_Book_of_Tang,39,,21,新州。闕。領縣四：永興，礬山，龍門，懷安。,
13849,New_Book_of_Tang,141,,8,少遊四為京兆，雖無赫赫名，然善任人，緣飾規檢，有足稱者。,
184834,New_Book_of_Tang,62,,263,戊辰，尚書右丞韋貫之同中書門下平章事。,
27491,New_Book_of_Tang,47,,28,修撰四人，掌修國史。貞觀三年，置史館於門下省，以他官兼領，或卑位有才者亦以直館稱，以宰相涖脩撰；又於中書省置秘書內省，脩五代史。開元二十年，李林甫以宰相監脩國史，建議以為中書切密之地，史官記事隸門下省，疏遠。於是諫議大夫、史館脩撰尹愔奏徙於中書省。天寶後，他官兼史職者曰史館脩撰，初入為直館。元和六年，宰相裴垍建議：登朝官領史職者為修撰，以官高一人判館事；未登朝官皆為直館。大中八年，廢史館直館二員，增脩撰四人，分掌四季。有令史二人，楷書十二人，寫國史楷書十八人，楷書手二十五人，典書二人，亭長二人，掌固四人，熟紙匠六人。,
42401,New_Book_of_Tang,192,,12,祿山反，使循守幽州，故杲卿招之，以傾賊巢穴，循許可。為向潤客等發其謀，賊縊之。建中二年，贈太尉，謚曰忠。,
127956,New_Book_of_Tang,58,,130,又一百一十三卷,
94813,New_Book_of_Tang,30,上,68,前准日十二，餘三千七百五十四，秒千五百一十二。,
36472,New_Book_of_Tang,35,,154,天寶十載六月乙亥，大同殿前鐘自鳴。占曰：「庶雄為亂。」,
136672,New_Book_of_Tang,224,下,32,師鐸壁揚子，發民廬舍治攻具。用之大索居人馬及丁壯，驍將以長刀擁脅乘城，晝夜不得息。又疑為間，數易區處，家有饁餉，皆相失，至饑死者相枕藉。駢召大將古鍔賫師鐸母書及其子出諭，師鐸遣子還曰：「不敢負恩，朝斬兇人，夕還屯，願以妻子為質。」駢恐用之屠其家，乃收置署中。會秦彥遣秦稠率兵與師鐸合，攻益急，守陴者夜焚南柵以應於外，師鐸入，守將張全乃戰死，用之距三橋，殺傷相當。駢從子傑率牙兵將執用之以畀師鐸，左鏌邪兵復斷其後，用之懼，乃出奔。,
178462,New_Book_of_Tang,210,,51,進累檢校太師，守侍中，徙臨清郡王。光化元年死，年六十三，贈太師，追封北平王，謚曰莊肅。子紹威襲。,
41328,New_Book_of_Tang,207,,20,朝恩資小人，恃功岸忽無所憚。仆固瑒攻絳州，使姚良據溫，誘回紇陷河陽。朝恩遣李忠誠討瑒，以霍文場監之；王景岑討良，王希遷監之。敗瑒於萬泉，生擒良。高暉等引吐蕃入寇，遣劉德信討斬之。故朝恩因麾下數克獲，竊以自高。是時郭子儀有定天下功，居人臣第一，心冒之，乘相州敗，鬼為詆譖，肅宗不內其語，然猶罷子信兵，留京師。代宗立，與程元振一口加毀，帝未及寤，子儀憂甚。俄而吐蕃陷京師，卒用其力，王室再安。故朝恩內慚，乃勸帝徙洛陽，欲遠戎狄。百僚在廷，朝恩從十餘人持兵出，曰：「虜數犯都甸，欲幸洛，雲何？」宰相未對，有近臣折曰：「敕使反耶？今屯兵足以捍寇，何遽脅天子棄宗廟為？」朝恩色沮，而子儀亦謂不可，乃止。,
184703,New_Book_of_Tang,62,,132,九月辛亥，子儀為太尉，抱玉為司徒。甲寅，子儀讓，罷之。,
163134,New_Book_of_Tang,40,,20,右東道採訪使，治襄州。,
196447,New_Book_of_Tang,43,上,53,容州普寧郡，下都督府。本銅州，武德四年以合浦郡之北流、普寧置。貞觀八年更名。元和中徙治普寧。土貢：銀、丹沙、水銀。戶四千九百七十，口萬七千八十五。縣六：有經略軍。普寧，下。北流，下。武德四年析置豪石、宕昌、南流、陵城、新安五縣。貞觀十一年省新安，後又省豪石、宕昌。北三十裏有鬼門關，兩石相對，中闊三十步。陵城，下。渭龍，下。武德四年析普寧置。欣道，下。本寧人，隸藤州。貞觀二十三年更名，來屬。陸川。下。本隸東峨州，唐末來屬。,
105934,New_Book_of_Tang,29,,48,太陽每日蝕差：月在陰曆，自秋分後、春分前，皆以四百五十七為蝕差；入春分後，日損五分；入夏至初日，損不盡者七；乃自後日益五分。月在陽曆，自春分後、秋分前，亦以四百五十七為蝕差；入秋分後，日損五分，入冬至初日，損不盡者七；乃自後日益五分。各得朔日所入定數。,
